序號,原始檔名,新檔名,Group,File,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
188,hs10wgae9-4_mt_3.jpg,188.jpg,GAE9,188.jpg,208734.6818,8241.287284,3.948211774
189,hs10wgae9-4_mt_4.jpg,189.jpg,GAE9,189.jpg,220372.9501,4355.126192,1.976252616
190,hs10wgae9-4_mt_5.jpg,190.jpg,GAE9,190.jpg,219328.4024,7220.867045,3.292262638
191,hs10wgae9-4_mt_6.jpg,191.jpg,GAE9,191.jpg,196682.007,19686.64413,10.00937728
192,hs10wgae9-5_mt_1.jpg,192.jpg,GAE9,192.jpg,187684.072,7429.754861,3.958649651
193,hs10wgae9-5_mt_2.jpg,193.jpg,GAE9,193.jpg,191491.0035,8583.419877,4.482414171
194,hs10wgae9-5_mt_3.jpg,194.jpg,GAE9,194.jpg,193012.9936,8911.532424,4.617063472
195,hs10wgae9-5_mt_4.jpg,195.jpg,GAE9,195.jpg,205641.4684,4920.275329,2.39264744
196,hs10wgae9-5_mt_5.jpg,196.jpg,GAE9,196.jpg,216632.967,7381.065089,3.407175367
197,hs10wgae9-5_mt_6.jpg,197.jpg,GAE9,197.jpg,201741.5046,7374.544137,3.65544222
198,hs10wgae10-1_mt_1.jpg,198.jpg,GAE10,198.jpg,215921.2052,6290.653303,2.913402275
199,hs10wgae10-1_mt_2.jpg,199.jpg,GAE10,199.jpg,215642.9779,7396.60669,3.430024368
200,hs10wgae10-1_mt_3.jpg,200.jpg,GAE10,200.jpg,219554.2447,7554.848448,3.440994029
201,hs10wgae10-1_mt_4.jpg,201.jpg,GAE10,201.jpg,226054.6552,6306.194904,2.789677079
202,hs10wgae10-1_mt_5.jpg,202.jpg,GAE10,202.jpg,221466.079,8250.633981,3.725461714
203,hs10wgae10-1_mt_6.jpg,203.jpg,GAE10,203.jpg,216111.2909,12372.31011,5.724971636
204,hs10wgae10-2_mt_1.jpg,204.jpg,GAE10,204.jpg,180882.6108,10399.93962,5.749551919
205,hs10wgae10-2_mt_2.jpg,205.jpg,GAE10,205.jpg,207931.3006,10653.06122,5.123356222
206,hs10wgae10-2_mt_3.jpg,206.jpg,GAE10,206.jpg,192847.3614,15351.6242,7.960505182
207,hs10wgae10-2_mt_4.jpg,207.jpg,GAE10,207.jpg,202284.2652,13955.2711,6.898841632
208,hs10wgae10-2_mt_5.jpg,208.jpg,GAE10,208.jpg,202250.1389,17789.91668,8.795997262
209,hs10wgae10-2_mt_6.jpg,209.jpg,GAE10,209.jpg,196249.4505,15121.97802,7.705488081
210,hs10wgae10-3_mt_1.jpg,210.jpg,GAE10,210.jpg,222455.416,11015.51745,4.951786586
211,hs10wgae10-3_mt_2.jpg,211.jpg,GAE10,211.jpg,219233.6312,7223.040696,3.294677307
212,hs10wgae10-3_mt_3.jpg,212.jpg,GAE10,212.jpg,220890.7137,3887.900012,1.760101159
213,hs10wgae10-3_mt_4.jpg,213.jpg,GAE10,213.jpg,214883.7218,6182.296824,2.877042883
214,hs10wgae10-3_mt_5.jpg,214.jpg,GAE10,214.jpg,204790.1582,7179.567685,3.505816758
215,hs10wgae10-3_mt_6.jpg,215.jpg,GAE10,215.jpg,216058.1452,7779.92996,3.600850111
216,hs10wgae10-4_mt_1.jpg,216.jpg,GAE10,216.jpg,178231.5179,15105.78433,8.47537209
217,hs10wgae10-4_mt_2.jpg,217.jpg,GAE10,217.jpg,168865.3665,12292.42845,7.279425441
218,hs10wgae10-4_mt_3.jpg,218.jpg,GAE10,218.jpg,195517.9085,6492.368071,3.320600206
219,hs10wgae10-4_mt_4.jpg,219.jpg,GAE10,219.jpg,202546.7335,6678.215191,3.297123126
220,hs10wgae10-4_mt_5.jpg,220.jpg,GAE10,220.jpg,193902.6688,14078.08236,7.260386073
221,hs10wgae10-4_mt_6.jpg,221.jpg,GAE10,221.jpg,210281.8862,10588.06907,5.035178856
222,hs10wgae10-5_mt_1.jpg,222.jpg,GAE10,222.jpg,202430.4432,7208.694602,3.561072381
223,hs10wgae10-5_mt_2.jpg,223.jpg,GAE10,223.jpg,210656.841,9580.36469,4.547853583
224,hs10wgae10-5_mt_3.jpg,224.jpg,GAE10,224.jpg,212222.8475,8406.484724,3.961159142
225,hs10wgae10-5_mt_4.jpg,225.jpg,GAE10,225.jpg,210015.1793,7071.971984,3.367362305
226,hs10wgae10-5_mt_5.jpg,226.jpg,GAE10,226.jpg,211465.439,7895.024755,3.73348231
